CustomerID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_score,Segment,cluster,persona,pc1,pc2,country,avg_basket,tenure_days,annualized_clv_proxy
12399,119,4,1108.65,2,4,4,244,Cannot Lose Them,3,Loyal Repeat Buyers,0.4104722315181647,0.013674701395406106,Belgium,277.16,142,2849.7
12401,303,1,84.3,1,1,1,111,Hibernating,1,Dormant Former Buyers,-3.000897877065469,-0.7731987033839297,Belgium,84.3,0,1011.6
12402,323,1,225.6,1,1,1,111,Hibernating,1,Dormant Former Buyers,-2.2426968539006142,0.5443881960431797,Belgium,225.6,0,2707.2
12403,50,1,427.7,3,1,2,312,About to Sleep,0,Casual Low-Value Buyers,-1.1929916230139803,0.9590421873841223,Denmark,427.7,0,5132.4
12405,149,1,1710.39,2,1,4,214,Hibernating,0,Casual Low-Value Buyers,-0.4088827942122346,3.0586739801421263,Finland,1710.39,0,20524.68
12406,22,2,3415.3,4,2,5,425,Promising,3,Loyal Repeat Buyers,1.6861506279454177,2.0458582139941845,Denmark,1707.65,161,7742.76
12407,50,5,1708.12,3,4,4,344,Loyal Customers,3,Loyal Repeat Buyers,1.1348211906319319,0.03162588471409738,Belgium,341.62,214,2913.38
12408,33,5,2888.55,4,4,5,445,Champions,3,Loyal Repeat Buyers,1.6819965959415588,0.6284028574976133,Belgium,577.71,227,4644.58
12409,79,3,11072.67,2,3,5,235,At Risk,3,Loyal Repeat Buyers,2.2380286397830877,3.413283645048813,Switzerland,3690.89,103,39238.1
12410,309,2,693.3299999999999,1,2,3,123,At Risk,0,Casual Low-Value Buyers,-1.291858526593247,1.1265988106773173,Switzerland,346.66,0,8319.96
12412,75,3,1226.88,2,3,4,234,At Risk,3,Loyal Repeat Buyers,0.4879240811867131,0.48115775558125823,Denmark,408.96,94,4763.95
12413,67,3,758.1,3,3,3,333,Hibernating,4,Engaged New Buyers,0.33383706811560687,-0.30693854962502426,France,252.7,270,1024.84
12414,217,3,562.41,1,3,3,133,At Risk,4,Engaged New Buyers,-0.4421299148544867,-0.30601629130011243,Austria,187.47,93,2207.31
12415,24,21,124914.53,4,5,5,455,Champions,2,VIP B2B Accounts,5.267835671149505,3.509476637958898,Australia,5948.31,313,145667.1
12417,3,9,3649.1,5,5,5,555,Champions,2,VIP B2B Accounts,2.7435580040287038,-0.4383572893328945,Belgium,405.46,354,3762.49
12418,113,1,668.58,2,1,3,213,Hibernating,0,Casual Low-Value Buyers,-1.074534979229276,1.7429318730878767,Switzerland,668.58,0,8022.96
12420,64,1,600.39,3,1,3,313,About to Sleep,0,Casual Low-Value Buyers,-0.9950328806996407,1.4674403227198476,Cyprus,600.39,0,7204.68
12421,16,4,807.04,4,4,3,443,Champions,4,Engaged New Buyers,0.8727882313530684,-0.9559455059613098,Spain,201.76,303,972.18
12422,96,3,803.5600000000001,2,3,3,233,At Risk,4,Engaged New Buyers,0.24519958536662992,-0.12686281210481012,Australia,267.85,229,1280.78
12423,1,8,1859.31,5,5,4,554,Champions,2,VIP B2B Accounts,2.3753092828885634,-1.331718750444198,Belgium,232.41,352,1927.98
12424,163,2,1760.96,2,2,4,224,At Risk,0,Casual Low-Value Buyers,-0.36477888113841933,2.217283225195978,Australia,880.48,0,21131.52
12425,78,1,777.2,2,1,3,213,Hibernating,0,Casual Low-Value Buyers,-0.8473391561320506,1.8569994900113584,Portugal,777.2,0,9326.4
12426,195,1,582.73,1,1,3,113,Hibernating,0,Casual Low-Value Buyers,-1.3427143218788273,1.6876046514405647,Germany,582.73,0,6992.76
12427,22,3,825.8,4,3,3,433,Potential Loyalists,4,Engaged New Buyers,0.7675506876302715,-0.47825659791681346,Germany,275.27,349,863.66
12428,26,9,7956.46,4,5,5,455,Champions,2,VIP B2B Accounts,2.7428663057672567,1.086142042795631,Finland,884.05,257,11300.03
12429,9,4,3750.4,5,4,5,545,Champions,3,Loyal Repeat Buyers,2.2782359514728694,0.9441187513725185,Denmark,937.6,356,3845.21
12430,43,1,256.4,3,1,2,312,About to Sleep,0,Casual Low-Value Buyers,-1.5552993625886666,0.2441611160582206,Norway,256.4,0,3076.8
12431,36,15,6419.95,3,5,5,355,Loyal Customers,2,VIP B2B Accounts,2.6938027093731254,0.11873728239138386,Australia,428.0,338,6932.79
12432,43,5,5059.32,3,4,5,345,Loyal Customers,3,Loyal Repeat Buyers,1.9469834007871927,1.500810162750134,Norway,1011.86,129,14315.13
12433,1,7,13375.87,5,5,5,555,Champions,2,VIP B2B Accounts,3.9143506450474246,1.4762075530577903,Norway,1910.84,372,13124.17
12434,85,2,806.14,2,2,3,223,At Risk,3,Loyal Repeat Buyers,0.16751277869847528,0.4242087316443116,Australia,403.07,175,1681.38
12435,80,2,7829.89,2,2,5,225,At Risk,3,Loyal Repeat Buyers,2.004883698515287,3.4301528873767078,Denmark,3914.94,188,15201.65
12436,100,1,509.01,2,1,3,213,Hibernating,0,Casual Low-Value Buyers,-1.2554596617388174,1.3514881241019503,Norway,509.01,0,6108.12
12437,2,18,4951.41,5,5,5,555,Champions,2,VIP B2B Accounts,3.2813374339296453,-1.0748425803294683,France,275.08,329,5493.21
12438,14,2,2906.85,4,2,5,425,Promising,3,Loyal Repeat Buyers,1.6366740863105866,1.75962564187535,Norway,1453.42,125,8488.0
12441,367,1,173.55,1,1,1,111,Hibernating,1,Dormant Former Buyers,-2.487598343151348,0.22643325961372354,France,173.55,0,2082.6
12442,3,1,172.06,5,1,1,511,New Customers,1,Dormant Former Buyers,-1.1671191027737466,-0.8497695516609863,Spain,172.06,0,2064.72
12444,21,5,5005.46,4,4,5,445,Champions,3,Loyal Repeat Buyers,2.1686023226654347,1.3067028143866037,Norway,1001.09,149,12261.7
12445,22,1,133.4,4,1,1,411,Promising,1,Dormant Former Buyers,-1.8816044370146177,-0.7749396825762317,Spain,133.4,0,1600.8
12446,58,1,1002.31,3,1,4,314,About to Sleep,0,Casual Low-Value Buyers,-0.559616437467121,2.127004107906493,RSA,1002.31,0,12027.72
12447,243,1,476.49,1,1,2,112,Hibernating,0,Casual Low-Value Buyers,-1.5667625267415635,1.4713464860961518,Belgium,476.49,0,5717.88
12448,44,1,449.45,3,1,2,312,About to Sleep,0,Casual Low-Value Buyers,-1.116898651571204,0.9955505131138497,Spain,449.45,0,5393.4
12449,22,4,4067.29,4,4,5,445,Champions,3,Loyal Repeat Buyers,1.9544118935502053,1.3380007060824703,Belgium,1016.82,164,9052.2
12450,156,2,197.88,2,2,1,221,At Risk,1,Dormant Former Buyers,-1.546479948948398,-1.032490138878059,Spain,98.94,17,2374.56
12451,11,5,9035.52,5,4,5,545,Champions,3,Loyal Repeat Buyers,2.953626495103259,1.8650493354406752,Switzerland,1807.1,313,10536.63
12452,17,2,430.57,4,2,2,422,Promising,0,Casual Low-Value Buyers,-0.8342064992421525,-0.17664035116700208,Switzerland,215.28,0,5166.84
12453,134,1,707.09,2,1,3,213,Hibernating,0,Casual Low-Value Buyers,-1.0796974371315542,1.857300371530457,Austria,707.09,0,8485.08
12454,56,1,3528.34,3,1,5,315,About to Sleep,0,Casual Low-Value Buyers,0.45069327721761643,3.795830889584144,Spain,3528.34,0,42340.08
12455,73,6,2466.86,2,4,5,245,Cannot Lose Them,3,Loyal Repeat Buyers,1.3731067462297697,0.349965876318497,Spain,411.14,223,4037.69
12456,44,3,3181.04,3,3,5,335,Hibernating,3,Loyal Repeat Buyers,1.5472656311485447,1.5334592926194526,Switzerland,1060.35,210,5528.95
12457,66,7,2363.23,3,5,5,355,Loyal Customers,3,Loyal Repeat Buyers,1.3631043043310205,0.08406939539714726,Switzerland,337.6,172,5014.99
12458,71,2,947.4,3,2,4,324,About to Sleep,3,Loyal Repeat Buyers,0.38427001538080074,0.5744677011231358,Switzerland,473.7,213,1623.48
12461,94,2,826.88,2,2,3,223,At Risk,3,Loyal Repeat Buyers,-0.038962814635748036,0.6045966633010841,Switzerland,413.44,60,5030.19
12462,19,2,1189.59,4,2,4,424,Promising,3,Loyal Repeat Buyers,0.9944199880218809,0.5425254835883834,Spain,594.8,284,1528.87
12463,53,4,1344.78,3,4,4,344,Loyal Customers,3,Loyal Repeat Buyers,0.8500729815300818,0.04995556915936465,Belgium,336.2,188,2610.88
12464,10,8,1212.05,5,5,4,554,Champions,2,VIP B2B Accounts,1.505327521316707,-1.4792478221939585,Belgium,151.51,299,1479.59
12465,17,2,742.1899999999999,4,2,3,423,Promising,4,Engaged New Buyers,0.5349045861449206,-0.03771338545812716,Belgium,371.1,152,1782.23
12468,188,2,729.5400000000001,1,2,3,123,At Risk,3,Loyal Repeat Buyers,-0.20074105783988583,0.5129334481340558,Germany,364.77,128,2080.33
12471,2,30,19788.65,5,5,5,555,Champions,2,VIP B2B Accounts,4.5772651133720546,0.02680183472031421,Germany,659.62,362,19952.64
12472,32,7,6572.11,4,5,5,455,Champions,3,Loyal Repeat Buyers,2.5077208391024035,1.2013179191540997,Germany,938.87,336,7139.35
12473,29,5,3928.05,4,4,5,445,Champions,3,Loyal Repeat Buyers,1.9004310156016624,1.0472341544737607,Germany,785.61,162,8850.24
12474,17,18,7324.09,4,5,5,455,Champions,2,VIP B2B Accounts,3.0563853187023646,-0.12614061561054196,Germany,406.89,312,8568.25
12475,54,1,723.38,3,1,3,313,About to Sleep,0,Casual Low-Value Buyers,-0.7980351541171418,1.6761808204915845,Germany,723.38,0,8680.56
12476,16,11,6816.42,4,5,5,455,Champions,2,VIP B2B Accounts,2.872741461667367,0.45339957701857486,Germany,619.67,345,7211.57
12477,23,6,13219.74,4,4,5,445,Champions,3,Loyal Repeat Buyers,3.0785955862223444,2.295247928304046,Germany,2203.29,278,17356.85
12478,4,1,680.99,5,1,3,513,New Customers,0,Casual Low-Value Buyers,-0.14212311256048463,1.0311383991651355,Greece,680.99,0,8171.88
12479,11,1,527.2,5,1,3,513,New Customers,0,Casual Low-Value Buyers,-0.6023036713329538,0.8965963172298449,Germany,527.2,0,6326.4
12480,28,4,3281.63,4,4,5,445,Champions,3,Loyal Repeat Buyers,1.83209955256089,1.0341554200951,Germany,820.41,307,3901.61
12481,23,10,5579.82,4,5,5,455,Champions,2,VIP B2B Accounts,2.580950796512842,0.4039890703177553,Germany,557.98,342,5955.07
12483,17,8,2484.98,4,5,5,455,Champions,2,VIP B2B Accounts,1.943998701026088,-0.4184902954756201,Sweden,310.62,322,2816.83
12484,33,6,4527.32,4,4,5,445,Champions,3,Loyal Repeat Buyers,2.140623676586461,0.93960814867945,Spain,754.55,303,5453.7
12488,10,3,1298.66,5,3,4,534,Potential Loyalists,3,Loyal Repeat Buyers,1.0325627311524523,0.1440102461744046,France,432.89,65,7292.48
12489,336,1,334.93,1,1,2,112,Hibernating,0,Casual Low-Value Buyers,-1.941167454955123,1.0785669966078115,France,334.93,0,4019.16
12490,5,10,5417.93,5,5,5,555,Champions,2,VIP B2B Accounts,2.954440098178714,0.044619037380395965,France,541.79,324,6103.53
12491,39,1,460.4,3,1,2,312,About to Sleep,0,Casual Low-Value Buyers,-1.0632264630649209,0.9998373343018615,France,460.4,0,5524.8
12492,63,2,263.21000000000004,3,2,2,322,About to Sleep,4,Engaged New Buyers,-0.8954019112055814,-0.9676335903770085,Germany,131.61,42,2287.42
12493,166,2,433.74,2,2,2,222,At Risk,4,Engaged New Buyers,-0.8365403335029324,-0.04515031261292663,France,216.87,31,5106.94
12494,16,7,1246.1,4,5,4,454,Champions,4,Engaged New Buyers,1.389175858561691,-1.1710929892888449,France,178.01,349,1303.23
12497,82,1,1043.1,2,1,4,214,Hibernating,0,Casual Low-Value Buyers,-0.6281116881378334,2.260503118477954,Germany,1043.1,0,12517.2
12498,21,3,403.7000000000001,4,3,2,432,Potential Loyalists,4,Engaged New Buyers,-0.20521609359163442,-1.1772696935058988,Germany,134.57,36,4093.07
12500,23,11,4257.82,4,5,5,455,Champions,2,VIP B2B Accounts,2.3778481321994205,-0.07931626505042973,Germany,387.07,310,5013.24
12501,337,1,2169.39,1,1,5,115,Hibernating,0,Casual Low-Value Buyers,-0.458416117518141,3.5667544398253215,Germany,2169.39,0,26032.68
12502,96,5,3723.87,2,4,5,245,Cannot Lose Them,3,Loyal Repeat Buyers,1.5651375646965868,1.2202919071039753,Spain,744.77,214,6351.46
12504,18,2,482.05,4,2,2,422,Promising,4,Engaged New Buyers,-0.2826637390436593,-0.31205977464525864,Germany,241.02,12,5784.6
12506,233,1,73.5,1,1,1,111,Hibernating,1,Dormant Former Buyers,-3.031726466333484,-1.015311048451969,France,73.5,0,882.0
12507,134,3,1304.81,2,3,4,234,At Risk,3,Loyal Repeat Buyers,0.4710348527775481,0.6342229026138517,Spain,434.94,164,2904.0
12508,26,2,397.88,4,2,2,422,Promising,4,Engaged New Buyers,-0.8110910064258846,-0.3136405955999017,France,198.94,2,4774.56
12509,284,1,176.5,1,1,1,111,Hibernating,1,Dormant Former Buyers,-2.399246243812812,0.18859116872613652,France,176.5,0,2118.0
12510,143,2,982.57,2,2,4,224,At Risk,3,Loyal Repeat Buyers,0.1805882671552948,0.8043701752060707,Spain,491.28,182,1970.54
12512,66,2,132.18,3,2,1,321,About to Sleep,1,Dormant Former Buyers,-2.153002624312823,-1.4289882164863716,Israel,66.09,0,1586.16
12513,113,1,612.29,2,1,3,213,Hibernating,0,Casual Low-Value Buyers,-1.1443622242893559,1.6258571299193845,France,612.29,0,7347.48
12514,267,1,1017.68,1,1,4,114,Hibernating,0,Casual Low-Value Buyers,-0.9917752340464993,2.503654621778788,Italy,1017.68,0,12212.16
12515,353,1,383.7,1,1,2,112,Hibernating,0,Casual Low-Value Buyers,-1.8478175300971083,1.2708899591790321,Italy,383.7,0,4604.4
12516,78,2,1312.06,2,2,4,224,At Risk,3,Loyal Repeat Buyers,0.47938772159526877,1.1147415293794969,Germany,656.03,102,4695.12
12517,28,5,2481.6,4,4,5,445,Champions,3,Loyal Repeat Buyers,1.5443931290144897,0.42853962800210904,Germany,496.32,161,5625.99
12518,1,5,2056.89,5,4,5,545,Champions,2,VIP B2B Accounts,2.1081470771505892,-0.4059429622713404,Germany,411.38,109,6887.75
12519,64,1,330.84,3,1,2,312,About to Sleep,0,Casual Low-Value Buyers,-1.467841614116987,0.6747130572373145,Germany,330.84,0,3970.08
12520,79,5,2634.26,2,4,5,245,Cannot Lose Them,3,Loyal Repeat Buyers,1.3284965202409735,0.7253899723250028,Germany,526.85,194,4956.21
12521,143,1,599.68,2,1,3,213,Hibernating,0,Casual Low-Value Buyers,-1.2294563832182677,1.6531692076245095,Germany,599.68,0,7196.16
12522,39,2,192.72,3,2,1,321,About to Sleep,1,Dormant Former Buyers,-1.2265982525220356,-1.35155000705186,Germany,96.36,12,2312.64
12523,19,11,1789.77,4,5,4,454,Champions,2,VIP B2B Accounts,1.7448611338130753,-1.2744695913520783,France,162.71,312,2093.8
12524,9,8,4485.72,5,5,5,555,Champions,2,VIP B2B Accounts,2.586739880043296,0.22822374888814323,Germany,560.71,324,5053.36
12526,1,3,1316.66,5,3,4,534,Potential Loyalists,2,VIP B2B Accounts,1.6097822749067943,-0.28020593818788897,Germany,438.89,93,5167.54
12527,82,3,348.71000000000004,2,3,2,232,At Risk,4,Engaged New Buyers,-0.359371063839239,-1.2777030466665282,Germany,116.24,243,523.78
12528,9,6,1933.48,5,5,4,554,Champions,2,VIP B2B Accounts,1.8240816433741496,-0.480858593464323,Germany,322.25,303,2329.11
12530,60,4,1662.28,3,4,4,344,Loyal Customers,3,Loyal Repeat Buyers,1.054460540137758,0.31572842625813785,Germany,415.57,277,2190.37
12531,15,1,125.22,4,1,1,411,Promising,1,Dormant Former Buyers,-1.8250122941389213,-0.9441142308614784,Germany,125.22,0,1502.64
12532,30,1,349.83000000000004,4,1,2,412,Promising,0,Casual Low-Value Buyers,-1.2062583719088722,0.5745593496744241,France,349.83,0,4197.96
12534,131,1,1089.18,2,1,4,214,Hibernating,0,Casual Low-Value Buyers,-0.7299578312370006,2.42733393916171,Germany,1089.18,0,13070.16
12535,92,2,716.35,2,2,3,223,At Risk,4,Engaged New Buyers,-0.06406774660849332,0.3572259503857799,France,358.17,94,2781.57
12536,43,3,12601.830000000002,3,3,5,335,Hibernating,3,Loyal Repeat Buyers,2.1676148052535815,3.6624997667467465,France,4200.61,15,151221.96
12538,29,1,363.95,4,1,2,412,Promising,0,Casual Low-Value Buyers,-1.1652566478190787,0.6194455672869168,Spain,363.95,0,4367.4
12539,22,4,5568.35,4,4,5,445,Champions,3,Loyal Repeat Buyers,2.322766541831438,1.682451071136859,Spain,1392.09,311,6535.2
12540,20,17,13400.24,4,5,5,455,Champions,2,VIP B2B Accounts,3.4887895346246096,0.7852862672224918,Spain,788.25,342,14301.43
12541,30,3,981.18,4,3,4,434,Potential Loyalists,3,Loyal Repeat Buyers,0.7555212396115084,-0.14061916693612878,Spain,327.06,251,1426.82
12544,36,1,372.7,3,1,2,312,About to Sleep,0,Casual Low-Value Buyers,-1.2079763752984507,0.7004179747819369,Spain,372.7,0,4472.4
12545,75,2,1000.39,2,2,4,224,At Risk,3,Loyal Repeat Buyers,0.3844835084493016,0.6765598236118514,Spain,500.2,184,1984.47
12546,47,2,1161.5,3,2,4,324,About to Sleep,3,Loyal Repeat Buyers,0.31102952409973844,0.9710264476318018,Spain,580.75,31,13675.73
12547,198,2,207.8,1,2,1,121,At Risk,4,Engaged New Buyers,-1.2926670195978942,-1.0896885735852837,Spain,103.9,82,924.96
12548,166,1,95.2,2,1,1,211,Hibernating,1,Dormant Former Buyers,-2.7294366703161774,-0.7539292087186747,Spain,95.2,0,1142.4
12550,79,1,964.83,2,1,4,214,Hibernating,0,Casual Low-Value Buyers,-0.67926841237427,2.1479452654033913,Spain,964.83,0,11577.96
12551,358,1,168.0,1,1,1,111,Hibernating,1,Dormant Former Buyers,-2.5060246752629753,0.17752266365875158,Spain,168.0,0,2016.0
12552,39,2,437.82,3,2,2,322,About to Sleep,0,Casual Low-Value Buyers,-1.0553533808210214,0.03358372118161833,Italy,218.91,0,5253.84
12553,8,10,3692.28,5,5,5,555,Champions,2,VIP B2B Accounts,2.5291251804470756,-0.3691052249368951,France,369.23,321,4198.39
12556,50,2,599.56,3,2,3,323,About to Sleep,4,Engaged New Buyers,-0.017509597678206708,-0.027965924453833016,Spain,299.78,100,2188.39
12557,16,5,11990.96,4,4,5,445,Champions,3,Loyal Repeat Buyers,3.099743746429984,2.309612352494249,Spain,2398.19,355,12328.73
12558,8,1,269.96,5,1,2,512,New Customers,0,Casual Low-Value Buyers,-1.0486473642393626,-0.06108323339569323,USA,269.96,0,3239.52
12559,311,2,561.71,1,2,3,123,At Risk,0,Casual Low-Value Buyers,-1.0513632773422128,0.5929082858623188,Germany,280.86,8,6740.52
12560,5,3,2134.01,5,3,5,535,Potential Loyalists,3,Loyal Repeat Buyers,1.742391661108777,0.5766609807138031,Germany,711.34,137,5685.5
12561,303,1,238.85,1,1,1,111,Hibernating,1,Dormant Former Buyers,-2.1788059354237928,0.6051487145297411,Germany,238.85,0,2866.2
12562,8,7,3781.74,5,5,5,555,Champions,2,VIP B2B Accounts,2.3441927620038476,0.2254451819684856,France,540.25,190,7264.92
12564,261,1,456.9,1,1,2,112,Hibernating,0,Casual Low-Value Buyers,-1.6209672898820138,1.432254521549716,France,456.9,0,5482.8
12565,289,1,145.92,1,1,1,111,Hibernating,1,Dormant Former Buyers,-2.5547064990788297,-0.05940414794363953,Saudi Arabia,145.92,0,1751.04
12566,86,1,351.65,2,1,2,212,Hibernating,0,Casual Low-Value Buyers,-1.5050471810520756,0.8244505961097872,Germany,351.65,0,4219.8
12567,23,10,9401.28,4,5,5,455,Champions,2,VIP B2B Accounts,2.997651680804922,1.0973669950577498,France,940.13,346,9917.54
12569,2,32,4124.69,5,5,5,555,Champions,2,VIP B2B Accounts,3.286881473894371,-2.1068238444029754,Germany,128.9,250,6022.05
12571,40,2,519.61,3,2,3,323,About to Sleep,4,Engaged New Buyers,-0.1057872125780946,-0.24534568220305822,France,259.8,81,2341.45
12572,9,2,1020.42,5,2,4,524,New Customers,3,Loyal Repeat Buyers,0.7279680228698345,0.39227835273925327,Germany,510.21,43,8661.7
12573,227,1,160.54000000000002,1,1,1,111,Hibernating,1,Dormant Former Buyers,-2.4086666007326696,0.010431999320548264,France,160.54,0,1926.48
12574,316,1,218.45,1,1,1,111,Hibernating,1,Dormant Former Buyers,-2.2617806917695615,0.4964989990356247,France,218.45,0,2621.4
12576,36,5,1315.83,3,4,4,344,Loyal Customers,3,Loyal Repeat Buyers,1.0636892108757559,-0.41683605369867766,Poland,263.17,268,1792.08
12577,35,3,626.6,3,3,3,333,Hibernating,4,Engaged New Buyers,0.4027433433624319,-0.7304619967339008,France,208.87,323,708.08
12578,21,2,2794.51,4,2,5,425,Promising,3,Loyal Repeat Buyers,1.6600685137123645,1.6930393486435034,Italy,1397.26,308,3311.68
12579,78,1,440.42,2,1,2,212,Hibernating,0,Casual Low-Value Buyers,-1.2981976756604516,1.1010747025777678,France,440.42,0,5285.04
12580,247,1,415.7,1,1,2,112,Hibernating,0,Casual Low-Value Buyers,-1.6798209831153679,1.2936203686318968,Germany,415.7,0,4988.4
12581,40,1,197.71,3,1,1,311,About to Sleep,1,Dormant Former Buyers,-1.7403521648117013,-0.11748779051492954,Germany,197.71,0,2372.52
12582,239,2,511.36,1,2,3,123,At Risk,4,Engaged New Buyers,-0.7293343473162885,0.2070134767315672,Finland,255.68,49,3809.11
