CustomerID,orders,first_purchase,last_purchase,total_revenue,avg_basket,median_basket,total_items,avg_days_between,recency_days,tenure_days,active_days,country,historical_clv,annualized_clv_proxy
12365,2,2011-02-21 13:51:00,2011-02-21 14:04:00,641.38,320.69,320.69,174,0.0,291,0,1,Cyprus,641.38,7696.56
12367,1,2011-12-05 16:48:00,2011-12-05 16:48:00,168.9,168.9,168.9,173,,4,0,1,Denmark,168.9,2026.8
12370,4,2010-12-14 12:58:00,2011-10-19 14:51:00,3541.94,885.48,838.84,2352,102.67,51,309,309,Cyprus,3541.94,4183.84
12371,2,2011-10-11 10:43:00,2011-10-26 10:16:00,1887.96,943.98,943.98,591,14.0,45,14,14,Switzerland,1887.96,22655.52
12372,3,2011-02-16 12:46:00,2011-09-29 12:12:00,1298.04,432.68,399.22,794,112.0,72,224,224,Denmark,1298.04,2115.11
12373,1,2011-02-01 13:10:00,2011-02-01 13:10:00,364.6,364.6,364.6,197,,311,0,1,Austria,364.6,4375.2
12374,1,2011-11-14 15:37:00,2011-11-14 15:37:00,742.93,742.93,742.93,342,,25,0,1,Austria,742.93,8915.16
12375,2,2011-09-02 14:23:00,2011-11-29 10:36:00,457.5,228.75,228.75,178,87.0,11,87,87,Finland,457.5,1919.4
12377,2,2010-12-20 09:37:00,2011-01-28 15:45:00,1628.12,814.06,814.06,944,39.0,315,39,39,Switzerland,1628.12,15237.53
12378,1,2011-08-02 10:34:00,2011-08-02 10:34:00,4008.62,4008.62,4008.62,2529,,130,0,1,Switzerland,4008.62,48103.44
12379,2,2011-06-22 16:32:00,2011-09-19 10:09:00,852.24,426.12,426.12,407,88.0,82,88,88,Belgium,852.24,3534.86
12380,4,2011-06-07 09:49:00,2011-11-18 11:27:00,2724.81,681.2,616.78,1127,54.0,22,164,164,Belgium,2724.81,6064.36
12381,5,2011-08-12 09:57:00,2011-12-05 12:44:00,1845.31,369.06,147.01,808,28.25,5,115,115,Norway,1845.31,5856.85
12383,5,2010-12-22 14:28:00,2011-06-08 08:02:00,1850.56,370.11,357.07,1532,41.25,185,167,167,Belgium,1850.56,4044.64
12384,2,2011-08-10 11:23:00,2011-11-11 08:39:00,585.27,292.64,292.64,126,92.0,29,92,92,Switzerland,585.27,2322.0
12386,2,2010-12-08 09:53:00,2011-01-06 12:37:00,401.9,200.95,200.95,354,29.0,338,29,29,Australia,401.9,4822.8
12388,6,2011-01-17 11:12:00,2011-11-24 12:30:00,2780.66,463.44,358.85,1462,61.8,16,311,311,Australia,2780.66,3263.48
12390,1,2011-09-21 09:33:00,2011-09-21 09:33:00,549.84,549.84,549.84,353,,80,0,1,Belgium,549.84,6598.08
12391,1,2011-11-18 12:07:00,2011-11-18 12:07:00,439.66,439.66,439.66,293,,22,0,1,Cyprus,439.66,5275.92
12393,4,2011-01-11 09:47:00,2011-09-28 15:41:00,1582.6,395.65,442.05,816,86.33,72,260,260,Australia,1582.6,2221.73
12394,2,2011-05-06 14:01:00,2011-10-07 08:08:00,1272.48,636.24,636.24,819,153.0,64,153,153,Belgium,1272.48,3035.65
12395,12,2010-12-03 16:35:00,2011-11-20 15:21:00,3018.63,251.55,253.27,2118,31.45,19,351,351,Belgium,3018.63,3139.03
12397,2,2011-07-27 14:21:00,2011-11-04 09:52:00,2409.9,1204.95,1204.95,1263,99.0,36,99,99,Belgium,2409.9,8884.98
12398,1,2011-10-25 10:27:00,2011-10-25 10:27:00,1635.66,1635.66,1635.66,1394,,46,0,1,Switzerland,1635.66,19627.92
12399,4,2011-03-23 09:42:00,2011-08-12 13:15:00,1108.65,277.16,248.84,1178,47.33,119,142,142,Belgium,1108.65,2849.7
12401,1,2011-02-09 13:50:00,2011-02-09 13:50:00,84.3,84.3,84.3,11,,303,0,1,Belgium,84.3,1011.6
12402,1,2011-01-20 13:49:00,2011-01-20 13:49:00,225.6,225.6,225.6,94,,323,0,1,Belgium,225.6,2707.2
12403,1,2011-10-21 10:51:00,2011-10-21 10:51:00,427.7,427.7,427.7,96,,50,0,1,Denmark,427.7,5132.4
12405,1,2011-07-14 08:52:00,2011-07-14 08:52:00,1710.39,1710.39,1710.39,857,,149,0,1,Finland,1710.39,20524.68
12406,2,2011-06-09 10:23:00,2011-11-17 19:22:00,3415.3,1707.65,1707.65,1818,161.0,22,161,161,Denmark,3415.3,7742.76
12407,5,2011-03-20 13:21:00,2011-10-21 10:11:00,1708.12,341.62,269.66,1416,53.0,50,214,214,Belgium,1708.12,2913.38
12408,5,2011-03-24 14:46:00,2011-11-07 12:27:00,2888.55,577.71,654.18,1409,56.5,33,227,227,Belgium,2888.55,4644.58
12409,3,2011-06-10 12:19:00,2011-09-22 10:38:00,11072.67,3690.89,4860.64,5551,51.5,79,103,103,Switzerland,11072.67,39238.1
12410,2,2011-02-04 10:38:00,2011-02-04 10:39:00,693.33,346.66,346.66,211,0.0,309,0,1,Switzerland,693.33,8319.96
12412,3,2011-06-23 13:51:00,2011-09-26 10:16:00,1226.88,408.96,376.24,829,46.5,75,94,94,Denmark,1226.88,4763.95
12413,3,2011-01-06 16:12:00,2011-10-04 09:00:00,758.1,252.7,194.2,286,134.5,67,270,270,France,758.1,1024.84
12414,3,2011-02-02 14:51:00,2011-05-06 14:51:00,562.41,187.47,165.85,300,46.0,217,93,93,Austria,562.41,2207.31
12415,21,2011-01-06 11:12:00,2011-11-15 14:22:00,124914.53,5948.31,828.0,77374,15.15,24,313,313,Australia,124914.53,145667.1
12417,9,2010-12-17 11:51:00,2011-12-06 14:52:00,3649.1,405.46,410.0,1552,43.75,3,354,354,Belgium,3649.1,3762.49
12418,1,2011-08-19 11:08:00,2011-08-19 11:08:00,668.58,668.58,668.58,407,,113,0,1,Switzerland,668.58,8022.96
12420,1,2011-10-07 08:55:00,2011-10-07 08:55:00,600.39,600.39,600.39,345,,64,0,1,Cyprus,600.39,7204.68
12421,4,2011-01-24 15:09:00,2011-11-24 09:07:00,807.04,201.76,205.12,484,100.33,16,303,303,Spain,807.04,972.18
12422,3,2011-01-19 09:13:00,2011-09-05 09:48:00,803.56,267.85,238.5,370,114.0,96,229,229,Australia,803.56,1280.78
12423,8,2010-12-21 10:54:00,2011-12-09 10:10:00,1859.31,232.41,223.29,1339,49.86,1,352,352,Belgium,1859.31,1927.98
12424,2,2011-06-30 12:06:00,2011-06-30 12:06:00,1760.96,880.48,880.48,740,0.0,163,0,1,Australia,1760.96,21131.52
12425,1,2011-09-22 17:31:00,2011-09-22 17:31:00,777.2,777.2,777.2,496,,78,0,1,Portugal,777.2,9326.4
12426,1,2011-05-29 12:26:00,2011-05-29 12:26:00,582.73,582.73,582.73,258,,195,0,1,Germany,582.73,6992.76
12427,3,2010-12-03 10:44:00,2011-11-18 08:56:00,825.8,275.27,282.58,533,174.5,22,349,349,Germany,825.8,863.66
12428,9,2011-03-01 09:33:00,2011-11-14 08:22:00,7956.46,884.05,558.4,3536,31.88,26,257,257,Finland,7956.46,11300.03
12429,4,2010-12-09 12:05:00,2011-11-30 17:22:00,3750.4,937.6,1015.46,1557,118.33,9,356,356,Denmark,3750.4,3845.21
12430,1,2011-10-27 15:09:00,2011-10-27 15:09:00,256.4,256.4,256.4,117,,43,0,1,Norway,256.4,3076.8
12431,15,2010-12-01 10:03:00,2011-11-04 11:55:00,6419.95,428.0,472.09,2896,23.71,36,338,338,Australia,6419.95,6932.79
12432,5,2011-06-20 13:27:00,2011-10-28 11:43:00,5059.32,1011.86,700.0,1801,32.0,43,129,129,Norway,5059.32,14315.13
12433,7,2010-12-01 13:24:00,2011-12-09 10:02:00,13375.87,1910.84,1919.14,11071,61.67,1,372,372,Norway,13375.87,13124.17
12434,2,2011-03-24 13:05:00,2011-09-16 12:38:00,806.14,403.07,403.07,394,175.0,85,175,175,Australia,806.14,1681.38
12435,2,2011-03-17 07:40:00,2011-09-21 09:06:00,7829.89,3914.94,3914.94,2055,188.0,80,188,188,Denmark,7829.89,15201.65
12436,1,2011-09-01 12:09:00,2011-09-01 12:09:00,509.01,509.01,509.01,211,,100,0,1,Norway,509.01,6108.12
12437,18,2011-01-12 14:13:00,2011-12-08 11:35:00,4951.41,275.08,261.97,2922,18.94,2,329,329,France,4951.41,5493.21
12438,2,2011-07-22 13:29:00,2011-11-25 13:28:00,2906.85,1453.42,1453.42,1180,125.0,14,125,125,Norway,2906.85,8488.0
12441,1,2010-12-08 10:45:00,2010-12-08 10:45:00,173.55,173.55,173.55,121,,367,0,1,France,173.55,2082.6
12442,1,2011-12-06 14:22:00,2011-12-06 14:22:00,172.06,172.06,172.06,182,,3,0,1,Spain,172.06,2064.72
12444,5,2011-06-21 14:00:00,2011-11-18 13:23:00,5005.46,1001.09,879.01,1153,37.25,21,149,149,Norway,5005.46,12261.7
12445,1,2011-11-17 18:43:00,2011-11-17 18:43:00,133.4,133.4,133.4,62,,22,0,1,Spain,133.4,1600.8
12446,1,2011-10-13 12:50:00,2011-10-13 12:50:00,1002.31,1002.31,1002.31,351,,58,0,1,RSA,1002.31,12027.72
12447,1,2011-04-10 13:25:00,2011-04-10 13:25:00,476.49,476.49,476.49,190,,243,0,1,Belgium,476.49,5717.88
12448,1,2011-10-26 13:46:00,2011-10-26 13:46:00,449.45,449.45,449.45,243,,44,0,1,Spain,449.45,5393.4
12449,4,2011-06-05 15:37:00,2011-11-17 13:46:00,4067.29,1016.82,973.32,1553,54.33,22,164,164,Belgium,4067.29,9052.2
12450,2,2011-06-19 14:36:00,2011-07-06 14:41:00,197.88,98.94,98.94,128,17.0,156,17,17,Spain,197.88,2374.56
12451,5,2011-01-19 09:05:00,2011-11-29 08:40:00,9035.52,1807.1,2388.31,6575,77.75,11,313,313,Switzerland,9035.52,10536.63
12452,2,2011-11-23 08:05:00,2011-11-23 10:28:00,430.57,215.28,215.28,185,0.0,17,0,1,Switzerland,430.57,5166.84
12453,1,2011-07-28 14:08:00,2011-07-28 14:08:00,707.09,707.09,707.09,473,,134,0,1,Austria,707.09,8485.08
12454,1,2011-10-14 17:13:00,2011-10-14 17:13:00,3528.34,3528.34,3528.34,1006,,56,0,1,Spain,3528.34,42340.08
12455,6,2011-02-16 09:56:00,2011-09-27 15:31:00,2466.86,411.14,199.45,2089,44.2,73,223,223,Spain,2466.86,4037.69
12456,3,2011-03-30 09:12:00,2011-10-26 14:41:00,3181.04,1060.35,940.17,1633,104.5,44,210,210,Switzerland,3181.04,5528.95
12457,7,2011-04-14 18:57:00,2011-10-04 13:13:00,2363.23,337.6,196.35,843,28.17,66,172,172,Switzerland,2363.23,5014.99
12458,2,2011-02-28 10:55:00,2011-09-29 15:25:00,947.4,473.7,473.7,506,213.0,71,213,213,Switzerland,947.4,1623.48
12461,2,2011-07-08 10:23:00,2011-09-06 16:57:00,826.88,413.44,413.44,287,60.0,94,60,60,Switzerland,826.88,5030.19
12462,2,2011-02-09 14:44:00,2011-11-21 09:11:00,1189.59,594.8,594.8,536,284.0,19,284,284,Spain,1189.59,1528.87
12463,4,2011-04-12 12:47:00,2011-10-17 13:44:00,1344.78,336.2,344.21,776,62.0,53,188,188,Belgium,1344.78,2610.88
12464,8,2011-02-03 13:30:00,2011-11-29 13:33:00,1212.05,151.51,149.77,112,42.29,10,299,299,Belgium,1212.05,1479.59
12465,2,2011-06-23 13:37:00,2011-11-22 16:34:00,742.19,371.1,371.1,479,152.0,17,152,152,Belgium,742.19,1782.23
12468,2,2011-01-27 13:29:00,2011-06-05 11:36:00,729.54,364.77,364.77,366,128.0,188,128,128,Germany,729.54,2080.33
12471,30,2010-12-10 09:35:00,2011-12-07 15:43:00,19788.65,659.62,560.27,8200,12.17,2,362,362,Germany,19788.65,19952.64
12472,7,2010-12-05 14:19:00,2011-11-07 14:01:00,6572.11,938.87,825.36,4148,55.67,32,336,336,Germany,6572.11,7139.35
12473,5,2011-06-01 10:15:00,2011-11-10 13:46:00,3928.05,785.61,661.69,2414,40.25,29,162,162,Germany,3928.05,8850.24
12474,18,2011-01-14 10:06:00,2011-11-22 14:39:00,7324.09,406.89,421.96,4833,17.82,17,312,312,Germany,7324.09,8568.25
12475,1,2011-10-17 10:10:00,2011-10-17 10:10:00,723.38,723.38,723.38,535,,54,0,1,Germany,723.38,8680.56
12476,11,2010-12-13 14:39:00,2011-11-24 12:40:00,6816.42,619.67,533.6,2408,34.1,16,345,345,Germany,6816.42,7211.57
12477,6,2011-02-11 12:45:00,2011-11-17 09:51:00,13219.74,2203.29,2129.36,3653,55.4,23,278,278,Germany,13219.74,17356.85
12478,1,2011-12-06 09:56:00,2011-12-06 09:56:00,680.99,680.99,680.99,236,,4,0,1,Greece,680.99,8171.88
12479,1,2011-11-28 13:26:00,2011-11-28 13:26:00,527.2,527.2,527.2,385,,11,0,1,Germany,527.2,6326.4
12480,4,2011-01-07 15:27:00,2011-11-11 14:52:00,3281.63,820.41,793.64,1707,102.33,28,307,307,Germany,3281.63,3901.61
12481,10,2010-12-09 10:13:00,2011-11-17 08:29:00,5579.82,557.98,602.98,3294,37.67,23,342,342,Germany,5579.82,5955.07
12483,8,2011-01-04 14:20:00,2011-11-22 17:02:00,2484.98,310.62,321.48,1110,45.29,17,322,322,Sweden,2484.98,2816.83
12484,6,2011-01-07 14:04:00,2011-11-07 11:37:00,4527.32,754.55,933.33,2187,60.2,33,303,303,Spain,4527.32,5453.7
12488,3,2011-09-25 10:34:00,2011-11-30 08:50:00,1298.66,432.89,531.21,529,32.5,10,65,65,France,1298.66,7292.48
12489,1,2011-01-07 13:13:00,2011-01-07 13:13:00,334.93,334.93,334.93,105,,336,0,1,France,334.93,4019.16
12490,10,2011-01-14 09:13:00,2011-12-04 16:07:00,5417.93,541.79,443.18,3064,35.67,5,324,324,France,5417.93,6103.53
12491,1,2011-11-01 12:18:00,2011-11-01 12:18:00,460.4,460.4,460.4,260,,39,0,1,France,460.4,5524.8
12492,2,2011-08-26 14:51:00,2011-10-07 15:15:00,263.21,131.61,131.61,192,42.0,63,42,42,Germany,263.21,2287.42
12493,2,2011-05-26 14:53:00,2011-06-27 10:17:00,433.74,216.87,216.87,207,31.0,166,31,31,France,433.74,5106.94
12494,7,2010-12-09 11:31:00,2011-11-24 09:34:00,1246.1,178.01,162.5,707,57.67,16,349,349,France,1246.1,1303.23
12497,1,2011-09-19 12:29:00,2011-09-19 12:29:00,1043.1,1043.1,1043.1,1236,,82,0,1,Germany,1043.1,12517.2
12498,3,2011-10-13 09:30:00,2011-11-18 12:53:00,403.7,134.57,126.0,159,18.0,21,36,36,Germany,403.7,4093.07
12500,11,2011-01-10 09:48:00,2011-11-16 16:20:00,4257.82,387.07,344.94,2678,30.7,23,310,310,Germany,4257.82,5013.24
12501,1,2011-01-07 12:28:00,2011-01-07 12:28:00,2169.39,2169.39,2169.39,1783,,337,0,1,Germany,2169.39,26032.68
12502,5,2011-02-03 10:41:00,2011-09-05 11:52:00,3723.87,744.77,702.8,820,53.25,96,214,214,Spain,3723.87,6351.46
12504,2,2011-11-09 14:56:00,2011-11-21 16:02:00,482.05,241.02,241.02,90,12.0,18,12,12,Germany,482.05,5784.6
12506,1,2011-04-21 08:54:00,2011-04-21 08:54:00,73.5,73.5,73.5,23,,233,0,1,France,73.5,882.0
12507,3,2011-02-14 09:24:00,2011-07-28 17:09:00,1304.81,434.94,446.16,894,82.0,134,164,164,Spain,1304.81,2904.0
12508,2,2011-11-10 16:27:00,2011-11-13 15:37:00,397.88,198.94,198.94,271,2.0,26,2,2,France,397.88,4774.56
12509,1,2011-02-28 14:45:00,2011-02-28 14:45:00,176.5,176.5,176.5,55,,284,0,1,France,176.5,2118.0
12510,2,2011-01-18 14:04:00,2011-07-20 10:15:00,982.57,491.28,491.28,353,182.0,143,182,182,Spain,982.57,1970.54
12512,2,2011-10-04 14:53:00,2011-10-04 14:55:00,132.18,66.09,66.09,96,0.0,66,0,1,Israel,132.18,1586.16
12513,1,2011-08-19 10:51:00,2011-08-19 10:51:00,612.29,612.29,612.29,462,,113,0,1,France,612.29,7347.48
12514,1,2011-03-17 16:38:00,2011-03-17 16:38:00,1017.68,1017.68,1017.68,440,,267,0,1,Italy,1017.68,12212.16
12515,1,2010-12-21 15:43:00,2010-12-21 15:43:00,383.7,383.7,383.7,131,,353,0,1,Italy,383.7,4604.4
12516,2,2011-06-12 11:37:00,2011-09-23 09:13:00,1312.06,656.03,656.03,875,102.0,78,102,102,Germany,1312.06,4695.12
12517,5,2011-06-02 15:13:00,2011-11-11 14:04:00,2481.6,496.32,488.95,1361,40.0,28,161,161,Germany,2481.6,5625.99
12518,5,2011-08-21 13:18:00,2011-12-09 10:13:00,2056.89,411.38,381.06,1318,27.0,1,109,109,Germany,2056.89,6887.75
12519,1,2011-10-07 09:26:00,2011-10-07 09:26:00,330.84,330.84,330.84,175,,64,0,1,Germany,330.84,3970.08
12520,5,2011-03-11 11:35:00,2011-09-21 15:23:00,2634.26,526.85,463.6,1439,48.25,79,194,194,Germany,2634.26,4956.21
12521,1,2011-07-20 10:51:00,2011-07-20 10:51:00,599.68,599.68,599.68,309,,143,0,1,Germany,599.68,7196.16
12522,2,2011-10-19 14:41:00,2011-10-31 15:30:00,192.72,96.36,96.36,194,12.0,39,12,12,Germany,192.72,2312.64
12523,11,2011-01-12 09:43:00,2011-11-20 12:55:00,1789.77,162.71,143.4,865,30.8,19,312,312,France,1789.77,2093.8
12524,8,2011-01-10 10:35:00,2011-11-30 15:31:00,4485.72,560.71,438.16,3699,45.86,9,324,324,Germany,4485.72,5053.36
12526,3,2011-09-06 14:19:00,2011-12-09 12:09:00,1316.66,438.89,519.28,632,46.5,1,93,93,Germany,1316.66,5167.54
12527,3,2011-01-18 12:05:00,2011-09-19 11:55:00,348.71,116.24,132.52,234,121.5,82,243,243,Germany,348.71,523.78
12528,6,2011-01-31 09:05:00,2011-11-30 14:40:00,1933.48,322.25,279.92,756,60.4,9,303,303,Germany,1933.48,2329.11
12530,4,2011-01-07 10:04:00,2011-10-11 12:34:00,1662.28,415.57,417.12,913,92.0,60,277,277,Germany,1662.28,2190.37
12531,1,2011-11-25 11:12:00,2011-11-25 11:12:00,125.22,125.22,125.22,45,,15,0,1,Germany,125.22,1502.64
12532,1,2011-11-09 13:47:00,2011-11-09 13:47:00,349.83,349.83,349.83,153,,30,0,1,France,349.83,4197.96
12534,1,2011-08-01 10:26:00,2011-08-01 10:26:00,1089.18,1089.18,1089.18,651,,131,0,1,Germany,1089.18,13070.16
12535,2,2011-06-06 12:47:00,2011-09-09 08:48:00,716.35,358.17,358.17,219,94.0,92,94,94,France,716.35,2781.57
12536,3,2011-10-11 14:52:00,2011-10-27 14:20:00,12601.83,4200.61,4161.06,2803,7.5,43,15,15,France,12601.83,151221.96
12538,1,2011-11-10 17:16:00,2011-11-10 17:16:00,363.95,363.95,363.95,191,,29,0,1,Spain,363.95,4367.4
12539,4,2011-01-10 09:11:00,2011-11-17 13:30:00,5568.35,1392.09,1400.92,2067,103.33,22,311,311,Spain,5568.35,6535.2
12540,17,2010-12-13 09:39:00,2011-11-20 11:31:00,13400.24,788.25,881.01,6685,20.88,20,342,342,Spain,13400.24,14301.43
12541,3,2011-03-04 09:32:00,2011-11-10 10:40:00,981.18,327.06,312.4,680,125.0,30,251,251,Spain,981.18,1426.82
12544,1,2011-11-03 16:15:00,2011-11-03 16:15:00,372.7,372.7,372.7,136,,36,0,1,Spain,372.7,4472.4
12545,2,2011-03-25 12:04:00,2011-09-25 13:39:00,1000.39,500.2,500.2,523,184.0,75,184,184,Spain,1000.39,1984.47
12546,2,2011-09-23 09:44:00,2011-10-24 12:09:00,1161.5,580.75,580.75,633,31.0,47,31,31,Spain,1161.5,13675.73
12547,2,2011-03-04 12:46:00,2011-05-26 12:38:00,207.8,103.9,103.9,134,82.0,198,82,82,Spain,207.8,924.96
12548,1,2011-06-26 15:35:00,2011-06-26 15:35:00,95.2,95.2,95.2,49,,166,0,1,Spain,95.2,1142.4
12550,1,2011-09-21 14:35:00,2011-09-21 14:35:00,964.83,964.83,964.83,569,,79,0,1,Spain,964.83,11577.96
12551,1,2010-12-17 11:23:00,2010-12-17 11:23:00,168.0,168.0,168.0,100,,358,0,1,Spain,168.0,2016.0
12552,2,2011-10-31 12:11:00,2011-11-01 10:02:00,437.82,218.91,218.91,88,0.0,39,0,1,Italy,437.82,5253.84
12553,10,2011-01-14 10:42:00,2011-12-01 16:38:00,3692.28,369.23,355.38,1965,35.22,8,321,321,France,3692.28,4198.39
12556,2,2011-07-11 13:35:00,2011-10-20 13:06:00,599.56,299.78,299.78,355,100.0,50,100,100,Spain,599.56,2188.39
12557,5,2010-12-03 12:20:00,2011-11-23 16:59:00,11990.96,2398.19,2990.0,4384,88.25,16,355,355,Spain,11990.96,12328.73
12558,1,2011-12-02 10:41:00,2011-12-02 10:41:00,269.96,269.96,269.96,196,,8,0,1,USA,269.96,3239.52
12559,2,2011-01-24 10:12:00,2011-02-02 09:49:00,561.71,280.86,280.86,283,8.0,311,8,8,Germany,561.71,6740.52
12560,3,2011-07-19 15:55:00,2011-12-04 13:54:00,2134.01,711.34,697.7,1110,68.0,5,137,137,Germany,2134.01,5685.5
12561,1,2011-02-10 11:39:00,2011-02-10 11:39:00,238.85,238.85,238.85,177,,303,0,1,Germany,238.85,2866.2
12562,7,2011-05-25 12:44:00,2011-12-01 17:20:00,3781.74,540.25,513.6,1779,31.33,8,190,190,France,3781.74,7264.92
12564,1,2011-03-23 14:55:00,2011-03-23 14:55:00,456.9,456.9,456.9,133,,261,0,1,France,456.9,5482.8
12565,1,2011-02-24 10:34:00,2011-02-24 10:34:00,145.92,145.92,145.92,80,,289,0,1,Saudi Arabia,145.92,1751.04
12566,1,2011-09-14 14:30:00,2011-09-14 14:30:00,351.65,351.65,351.65,265,,86,0,1,Germany,351.65,4219.8
12567,10,2010-12-05 11:57:00,2011-11-17 11:02:00,9401.28,940.13,871.44,4305,38.11,23,346,346,France,9401.28,9917.54
12569,32,2011-04-01 13:47:00,2011-12-07 16:24:00,4124.69,128.9,103.24,1801,7.65,2,250,250,Germany,4124.69,6022.05
12571,2,2011-08-10 12:35:00,2011-10-31 10:19:00,519.61,259.8,259.8,523,81.0,40,81,81,France,519.61,2341.45
12572,2,2011-10-19 08:20:00,2011-12-01 09:20:00,1020.42,510.21,510.21,452,43.0,9,43,43,Germany,1020.42,8661.7
12573,1,2011-04-26 15:52:00,2011-04-26 15:52:00,160.54,160.54,160.54,84,,227,0,1,France,160.54,1926.48
12574,1,2011-01-28 09:20:00,2011-01-28 09:20:00,218.45,218.45,218.45,61,,316,0,1,France,218.45,2621.4
12576,5,2011-02-08 11:31:00,2011-11-04 10:11:00,1315.83,263.17,266.85,967,67.0,36,268,268,Poland,1315.83,1792.08
12577,3,2010-12-15 16:21:00,2011-11-04 13:24:00,626.6,208.87,195.89,469,161.5,35,323,323,France,626.6,708.08
12578,2,2011-01-13 15:34:00,2011-11-18 13:30:00,2794.51,1397.26,1397.26,1196,308.0,21,308,308,Italy,2794.51,3311.68
12579,1,2011-09-22 17:15:00,2011-09-22 17:15:00,440.42,440.42,440.42,285,,78,0,1,France,440.42,5285.04
12580,1,2011-04-07 10:24:00,2011-04-07 10:24:00,415.7,415.7,415.7,238,,247,0,1,Germany,415.7,4988.4
12581,1,2011-10-31 08:56:00,2011-10-31 08:56:00,197.71,197.71,197.71,161,,40,0,1,Germany,197.71,2372.52
12582,2,2011-02-24 11:42:00,2011-04-15 08:45:00,511.36,255.68,255.68,300,49.0,239,49,49,Finland,511.36,3809.11
12583,15,2010-12-01 08:45:00,2011-12-07 08:07:00,7281.38,485.43,397.72,5060,26.0,3,370,370,France,7281.38,7182.98
12584,9,2011-03-04 15:15:00,2011-12-06 09:35:00,2338.15,259.79,279.8,416,34.0,4,276,276,Italy,2338.15,3092.12
12585,2,2010-12-23 12:58:00,2011-04-19 13:39:00,2040.1,1020.05,1020.05,1279,117.0,234,117,117,Germany,2040.1,6364.41
12586,1,2011-11-22 16:24:00,2011-11-22 16:24:00,196.94,196.94,196.94,79,,17,0,1,Italy,196.94,2363.28
12587,1,2011-12-02 12:47:00,2011-12-02 12:47:00,144.0,144.0,144.0,51,,8,0,1,Finland,144.0,1728.0
12588,1,2011-10-31 15:01:00,2011-10-31 15:01:00,214.9,214.9,214.9,53,,39,0,1,Finland,214.9,2578.8
12589,2,2011-07-18 12:05:00,2011-11-11 10:19:00,646.68,323.34,323.34,306,115.0,29,115,115,France,646.68,2052.51
12590,2,2011-05-12 14:46:00,2011-05-12 14:52:00,9864.26,4932.13,4932.13,4283,0.0,211,0,1,Germany,9864.26,118371.12
12591,1,2011-01-26 14:35:00,2011-01-26 14:35:00,452.85,452.85,452.85,228,,317,0,1,Italy,452.85,5434.2
12592,2,2011-05-10 13:44:00,2011-09-08 15:04:00,437.6,218.8,218.8,290,121.0,92,121,121,Germany,437.6,1320.03
12593,3,2011-05-05 09:29:00,2011-08-23 12:43:00,418.1,139.37,96.3,206,55.0,109,110,110,France,418.1,1387.33
12594,10,2011-01-21 09:52:00,2011-11-02 12:20:00,3338.22,333.82,276.75,1777,31.22,38,285,285,Italy,3338.22,4275.26
